sound	question_type	item	voice_quality	intonation_condition	duration
W_Kanasta_sfo_asp_m_long.wav	wh	Kanasta	breathy	m	long
W_Kanasta_sfo_asp_m_short.wav	wh	Kanasta	breathy	m	short
W_Kanasta_sfo_modal_e_long.wav	wh	Kanasta	modal	e	long
W_Kanasta_sfo_modal_e_short.wav	wh	Kanasta	modal	e	short
W_Kanasta_sfo_modal_m_long.wav	wh	Kanasta	modal	m	long
W_Kanasta_sfo_modal_m_short.wav	wh	Kanasta	modal	m	short
W_Lavendel_sfo_asp_e_long.wav	wh	Lavendel	breathy	e	long
W_Lavendel_sfo_asp_e_short.wav	wh	Lavendel	breathy	e	short
W_Lavendel_sfo_asp_m_long.wav	wh	Lavendel	breathy	m	long
W_Lavendel_sfo_asp_m_short.wav	wh	Lavendel	breathy	m	short
W_Lavendel_sfo_modal_e_long.wav	wh	Lavendel	modal	e	long
W_Lavendel_sfo_modal_e_short.wav	wh	Lavendel	modal	e	short
W_Lavendel_sfo_modal_m_long.wav	wh	Lavendel	modal	m	long
W_Lavendel_sfo_modal_m_short.wav	wh	Lavendel	modal	m	short
W_Libellen_sfo_asp_e_long.wav	wh	Libellen	breathy	e	long
W_Libellen_sfo_asp_e_short.wav	wh	Libellen	breathy	e	short
W_Libellen_sfo_asp_m_long.wav	wh	Libellen	breathy	m	long
W_Libellen_sfo_asp_m_short.wav	wh	Libellen	breathy	m	short
W_Libellen_sfo_modal_e_long.wav	wh	Libellen	modal	e	long
W_Libellen_sfo_modal_e_short.wav	wh	Libellen	modal	e	short
W_Libellen_sfo_modal_m_long.wav	wh	Libellen	modal	m	long
W_Libellen_sfo_modal_m_short.wav	wh	Libellen	modal	m	short
W_Ligretto_sfo_asp_e_long.wav	wh	Ligretto	breathy	e	long
W_Ligretto_sfo_asp_e_short.wav	wh	Ligretto	breathy	e	short
W_Ligretto_sfo_asp_m_long.wav	wh	Ligretto	breathy	m	long
W_Ligretto_sfo_asp_m_short.wav	wh	Ligretto	breathy	m	short
W_Ligretto_sfo_modal_e_long.wav	wh	Ligretto	modal	e	long
W_Ligretto_sfo_modal_e_short.wav	wh	Ligretto	modal	e	short
W_Ligretto_sfo_modal_m_long.wav	wh	Ligretto	modal	m	long
W_Ligretto_sfo_modal_m_short.wav	wh	Ligretto	modal	m	short
W_Limonen_sfo_asp_e_long.wav	wh	Limonen	breathy	e	long
W_Limonen_sfo_asp_e_short.wav	wh	Limonen	breathy	e	short
W_Limonen_sfo_asp_m_long.wav	wh	Limonen	breathy	m	long
W_Limonen_sfo_asp_m_short.wav	wh	Limonen	breathy	m	short
W_Limonen_sfo_modal_e_long.wav	wh	Limonen	modal	e	long
W_Limonen_sfo_modal_e_short.wav	wh	Limonen	modal	e	short
W_Limonen_sfo_modal_m_long.wav	wh	Limonen	modal	m	long
W_Limonen_sfo_modal_m_short.wav	wh	Limonen	modal	m	short
W_Melonen_sfo_asp_e_long.wav	wh	Melonen	breathy	e	long
W_Melonen_sfo_asp_e_short.wav	wh	Melonen	breathy	e	short
W_Melonen_sfo_asp_m_long.wav	wh	Melonen	breathy	m	long
W_Melonen_sfo_asp_m_short.wav	wh	Melonen	breathy	m	short
W_Melonen_sfo_modal_e_long.wav	wh	Melonen	modal	e	long
W_Melonen_sfo_modal_e_short.wav	wh	Melonen	modal	e	short
W_Melonen_sfo_modal_m_long.wav	wh	Melonen	modal	m	long
W_Melonen_sfo_modal_m_short.wav	wh	Melonen	modal	m	short
W_Mikado_sfo_asp_e_long.wav	wh	Mikado	breathy	e	long
W_Mikado_sfo_asp_e_short.wav	wh	Mikado	breathy	e	short
W_Mikado_sfo_asp_m_long.wav	wh	Mikado	breathy	m	long
W_Mikado_sfo_asp_m_short.wav	wh	Mikado	breathy	m	short
W_Mikado_sfo_modal_e_long.wav	wh	Mikado	modal	e	long
W_Mikado_sfo_modal_e_short.wav	wh	Mikado	modal	e	short
W_Mikado_sfo_modal_m_long.wav	wh	Mikado	modal	m	long
W_Mikado_sfo_modal_m_short.wav	wh	Mikado	modal	m	short
W_Novellen_sfo_asp_e_long.wav	wh	Novellen	breathy	e	long
W_Novellen_sfo_asp_e_short.wav	wh	Novellen	breathy	e	short
W_Novellen_sfo_asp_m_long.wav	wh	Novellen	breathy	m	long
W_Novellen_sfo_asp_m_short.wav	wh	Novellen	breathy	m	short
W_Novellen_sfo_modal_e_long.wav	wh	Novellen	modal	e	long
W_Novellen_sfo_modal_e_short.wav	wh	Novellen	modal	e	short
W_Novellen_sfo_modal_m_long.wav	wh	Novellen	modal	m	long
W_Novellen_sfo_modal_m_short.wav	wh	Novellen	modal	m	short
W_Oboe_sfo_asp_e_long.wav	wh	Oboe	breathy	e	long
W_Oboe_sfo_asp_e_short.wav	wh	Oboe	breathy	e	short
W_Oboe_sfo_asp_m_long.wav	wh	Oboe	breathy	m	long
W_Oboe_sfo_asp_m_short.wav	wh	Oboe	breathy	m	short
W_Oboe_sfo_modal_e_long.wav	wh	Oboe	modal	e	long
W_Oboe_sfo_modal_e_short.wav	wh	Oboe	modal	e	short
W_Oboe_sfo_modal_m_long.wav	wh	Oboe	modal	m	long
W_Oboe_sfo_modal_m_short.wav	wh	Oboe	modal	m	short
W_Oliven_sfo_asp_e_long.wav	wh	Oliven	breathy	e	long
W_Oliven_sfo_asp_e_short.wav	wh	Oliven	breathy	e	short
W_Oliven_sfo_asp_m_long.wav	wh	Oliven	breathy	m	long
W_Oliven_sfo_asp_m_short.wav	wh	Oliven	breathy	m	short
W_Oliven_sfo_modal_e_long.wav	wh	Oliven	modal	e	long
W_Oliven_sfo_modal_e_short.wav	wh	Oliven	modal	e	short
W_Oliven_sfo_modal_m_long.wav	wh	Oliven	modal	m	long
W_Oliven_sfo_modal_m_short.wav	wh	Oliven	modal	m	short
W_Orangen_sfo_asp_e_long.wav	wh	Orangen	breathy	e	long
W_Orangen_sfo_asp_e_short.wav	wh	Orangen	breathy	e	short
W_Orangen_sfo_asp_m_long.wav	wh	Orangen	breathy	m	long
W_Orangen_sfo_asp_m_short.wav	wh	Orangen	breathy	m	short
W_Orangen_sfo_modal_e_long.wav	wh	Orangen	modal	e	long
W_Orangen_sfo_modal_e_short.wav	wh	Orangen	modal	e	short
W_Orangen_sfo_modal_m_long.wav	wh	Orangen	modal	m	long
W_Orangen_sfo_modal_m_short.wav	wh	Orangen	modal	m	short
W_Posaune_sfo_asp_e_long.wav	wh	Posaune	breathy	e	long
W_Posaune_sfo_asp_e_short.wav	wh	Posaune	breathy	e	short
W_Posaune_sfo_asp_m_long.wav	wh	Posaune	breathy	m	long
W_Posaune_sfo_asp_m_short.wav	wh	Posaune	breathy	m	short
W_Posaune_sfo_modal_e_long.wav	wh	Posaune	modal	e	long
W_Posaune_sfo_modal_e_short.wav	wh	Posaune	modal	e	short
W_Posaune_sfo_modal_m_long.wav	wh	Posaune	modal	m	long
W_Posaune_sfo_modal_m_short.wav	wh	Posaune	modal	m	short
W_Pralinen_sfo_asp_e_long.wav	wh	Pralinen	breathy	e	long
W_Pralinen_sfo_asp_e_short.wav	wh	Pralinen	breathy	e	short
W_Pralinen_sfo_asp_m_long.wav	wh	Pralinen	breathy	m	long
W_Pralinen_sfo_asp_m_short.wav	wh	Pralinen	breathy	m	short
W_Pralinen_sfo_modal_e_long.wav	wh	Pralinen	modal	e	long
W_Pralinen_sfo_modal_e_short.wav	wh	Pralinen	modal	e	short
W_Pralinen_sfo_modal_m_long.wav	wh	Pralinen	modal	m	long
W_Pralinen_sfo_modal_m_short.wav	wh	Pralinen	modal	m	short
W_Rodeo_sfo_asp_e_long.wav	wh	Rodeo	breathy	e	long
W_Rodeo_sfo_asp_e_short.wav	wh	Rodeo	breathy	e	short
W_Rodeo_sfo_asp_m_long.wav	wh	Rodeo	breathy	m	long
W_Rodeo_sfo_asp_m_short.wav	wh	Rodeo	breathy	m	short
W_Rodeo_sfo_modal_e_long.wav	wh	Rodeo	modal	e	long
W_Rodeo_sfo_modal_e_short.wav	wh	Rodeo	modal	e	short
W_Rodeo_sfo_modal_m_long.wav	wh	Rodeo	modal	m	long
W_Rodeo_sfo_modal_m_short.wav	wh	Rodeo	modal	m	short
W_Rosinen_sfo_asp_e_long.wav	wh	Rosinen	breathy	e	long
W_Rosinen_sfo_asp_e_short.wav	wh	Rosinen	breathy	e	short
W_Rosinen_sfo_asp_m_long.wav	wh	Rosinen	breathy	m	long
W_Rosinen_sfo_asp_m_short.wav	wh	Rosinen	breathy	m	short
W_Rosinen_sfo_modal_e_long.wav	wh	Rosinen	modal	e	long
W_Rosinen_sfo_modal_e_short.wav	wh	Rosinen	modal	e	short
W_Rosinen_sfo_modal_m_long.wav	wh	Rosinen	modal	m	long
W_Rosinen_sfo_modal_m_short.wav	wh	Rosinen	modal	m	short
W_Sandalen_sfo_asp_e_long.wav	wh	Sandalen	breathy	e	long
W_Sandalen_sfo_asp_e_short.wav	wh	Sandalen	breathy	e	short
W_Sandalen_sfo_asp_m_long.wav	wh	Sandalen	breathy	m	long
W_Sandalen_sfo_asp_m_short.wav	wh	Sandalen	breathy	m	short
W_Sandalen_sfo_modal_e_long.wav	wh	Sandalen	modal	e	long
W_Sandalen_sfo_modal_e_short.wav	wh	Sandalen	modal	e	short
W_Sandalen_sfo_modal_m_long.wav	wh	Sandalen	modal	m	long
W_Sandalen_sfo_modal_m_short.wav	wh	Sandalen	modal	m	short
W_Sardinen_sfo_asp_e_long.wav	wh	Sardinen	breathy	e	long
W_Sardinen_sfo_asp_e_short.wav	wh	Sardinen	breathy	e	short
W_Sardinen_sfo_asp_m_long.wav	wh	Sardinen	breathy	m	long
W_Sardinen_sfo_asp_m_short.wav	wh	Sardinen	breathy	m	short
W_Sardinen_sfo_modal_e_long.wav	wh	Sardinen	modal	e	long
W_Sardinen_sfo_modal_e_short.wav	wh	Sardinen	modal	e	short
W_Sardinen_sfo_modal_m_long.wav	wh	Sardinen	modal	m	long
W_Sardinen_sfo_modal_m_short.wav	wh	Sardinen	modal	m	short
W_Schablonen_sfo_asp_e_long.wav	wh	Schablonen	breathy	e	long
W_Schablonen_sfo_asp_e_short.wav	wh	Schablonen	breathy	e	short
